Page,Sequence,DefaultImage,RorV,Label
,,urn:cite:bsb:muncg427img.MunCG427_img145,,
,,urn:cite:bsb:muncg427img.MunCG427_img146,,
,,urn:cite:bsb:muncg427img.MunCG427_img147,,
,,urn:cite:bsb:muncg427img.MunCG427_img148,,
,,urn:cite:bsb:muncg427img.MunCG427_img149,,
,,urn:cite:bsb:muncg427img.MunCG427_img150,,
,,urn:cite:bsb:muncg427img.MunCG427_img151,,
,,urn:cite:bsb:muncg427img.MunCG427_img152,,
,,urn:cite:bsb:muncg427img.MunCG427_img153,,
,,urn:cite:bsb:muncg427img.MunCG427_img154,,
,,urn:cite:bsb:muncg427img.MunCG427_img155,,
,,urn:cite:bsb:muncg427img.MunCG427_img156,,
,,urn:cite:bsb:muncg427img.MunCG427_img157,,
,,urn:cite:bsb:muncg427img.MunCG427_img158,,
,,urn:cite:bsb:muncg427img.MunCG427_img159,,
,,urn:cite:bsb:muncg427img.MunCG427_img160,,
,,urn:cite:bsb:muncg427img.MunCG427_img161,,
,,urn:cite:bsb:muncg427img.MunCG427_img162,,
,,urn:cite:bsb:muncg427img.MunCG427_img163,,
,,urn:cite:bsb:muncg427img.MunCG427_img164,,
,,urn:cite:bsb:muncg427img.MunCG427_img165,,
,,urn:cite:bsb:muncg427img.MunCG427_img166,,
,,urn:cite:bsb:muncg427img.MunCG427_img167,,
,,urn:cite:bsb:muncg427img.MunCG427_img168,,
,,urn:cite:bsb:muncg427img.MunCG427_img169,,
,,urn:cite:bsb:muncg427img.MunCG427_img170,,
,,urn:cite:bsb:muncg427img.MunCG427_img171,,
,,urn:cite:bsb:muncg427img.MunCG427_img172,,
,,urn:cite:bsb:muncg427img.MunCG427_img173,,
,,urn:cite:bsb:muncg427img.MunCG427_img174,,
,,urn:cite:bsb:muncg427img.MunCG427_img175,,
,,urn:cite:bsb:muncg427img.MunCG427_img176,,
,,urn:cite:bsb:muncg427img.MunCG427_img177,,
,,urn:cite:bsb:muncg427img.MunCG427_img178,,
,,urn:cite:bsb:muncg427img.MunCG427_img179,,
,,urn:cite:bsb:muncg427img.MunCG427_img180,,
,,urn:cite:bsb:muncg427img.MunCG427_img181,,
,,urn:cite:bsb:muncg427img.MunCG427_img182,,
,,urn:cite:bsb:muncg427img.MunCG427_img183,,
,,urn:cite:bsb:muncg427img.MunCG427_img184,,
,,urn:cite:bsb:muncg427img.MunCG427_img185,,
,,urn:cite:bsb:muncg427img.MunCG427_img186,,
,,urn:cite:bsb:muncg427img.MunCG427_img187,,
,,urn:cite:bsb:muncg427img.MunCG427_img188,,
,,urn:cite:bsb:muncg427img.MunCG427_img189,,
,,urn:cite:bsb:muncg427img.MunCG427_img190,,
,,urn:cite:bsb:muncg427img.MunCG427_img191,,
,,urn:cite:bsb:muncg427img.MunCG427_img192,,
,,urn:cite:bsb:muncg427img.MunCG427_img193,,
,,urn:cite:bsb:muncg427img.MunCG427_img194,,
,,urn:cite:bsb:muncg427img.MunCG427_img195,,
,,urn:cite:bsb:muncg427img.MunCG427_img196,,
,,urn:cite:bsb:muncg427img.MunCG427_img197,,
,,urn:cite:bsb:muncg427img.MunCG427_img198,,
,,urn:cite:bsb:muncg427img.MunCG427_img199,,
urn:cite:bsb:cg427.95r,200,urn:cite:bsb:muncg427img.MunCG427_img200,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 95, recto"
urn:cite:bsb:cg427.95v,201,urn:cite:bsb:muncg427img.MunCG427_img201,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 95, verso"
urn:cite:bsb:cg427.96r,202,urn:cite:bsb:muncg427img.MunCG427_img202,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 96, recto"
urn:cite:bsb:cg427.96v,203,urn:cite:bsb:muncg427img.MunCG427_img203,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 96, verso"
urn:cite:bsb:cg427.97r,204,urn:cite:bsb:muncg427img.MunCG427_img204,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 97, recto"
urn:cite:bsb:cg427.97v,205,urn:cite:bsb:muncg427img.MunCG427_img205,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 97, verso"
urn:cite:bsb:cg427.98r,206,urn:cite:bsb:muncg427img.MunCG427_img206,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 98, recto"
urn:cite:bsb:cg427.98v,207,urn:cite:bsb:muncg427img.MunCG427_img207,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 98, verso"
urn:cite:bsb:cg427.99r,208,urn:cite:bsb:muncg427img.MunCG427_img208,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 99, recto"
urn:cite:bsb:cg427.99v,209,urn:cite:bsb:muncg427img.MunCG427_img209,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 99, verso"
urn:cite:bsb:cg427.100r,210,urn:cite:bsb:muncg427img.MunCG427_img210,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 100, recto"
urn:cite:bsb:cg427.100v,211,urn:cite:bsb:muncg427img.MunCG427_img211,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 100, verso"
urn:cite:bsb:cg427.101r,212,urn:cite:bsb:muncg427img.MunCG427_img212,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 101, recto"
urn:cite:bsb:cg427.101v,213,urn:cite:bsb:muncg427img.MunCG427_img213,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 101, verso"
urn:cite:bsb:cg427.102r,214,urn:cite:bsb:muncg427img.MunCG427_img214,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 102, recto"
urn:cite:bsb:cg427.102v,215,urn:cite:bsb:muncg427img.MunCG427_img215,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 102, verso"
urn:cite:bsb:cg427.103r,216,urn:cite:bsb:muncg427img.MunCG427_img216,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 103, recto"
urn:cite:bsb:cg427.103v,217,urn:cite:bsb:muncg427img.MunCG427_img217,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 103, verso"
